Frequency (Hz),OL Magnitude (dB),OL Phase (Deg),Plant Magnitude (dB),Plant Phase (Deg)
100,37.1318206787109,-89.5421447753906,1.92481994628906,-1.35336303710938
106.799995422363,41.421875,-88.1573028564453,1.95158386230469,-1.58767700195313
114.062393188477,37.6021881103516,-89.1119995117188,1.93489074707031,-1.71269226074219
121.818634033203,34.0408172607422,-89.5876007080078,1.932373046875,-1.43292236328125
130.102294921875,36.0476837158203,-88.8785705566406,1.91950988769531,-1.75028991699219
138.949249267578,33.9897918701172,-89.2877349853516,1.92361450195313,-1.81147766113281
148.397796630859,33.1495056152344,-89.3358154296875,1.94097900390625,-1.93125915527344
158.488845825195,31.8383331298828,-89.6575469970703,1.94734191894531,-2.09999084472656
169.266082763672,32.6352691650391,-88.9651336669922,1.95132446289063,-2.22763061523438
180.776168823242,31.1851959228516,-89.3069610595703,1.95729064941406,-2.39199829101563
193.068939208984,31.1502075195313,-89.1618347167969,1.94761657714844,-2.69099426269531
206.197616577148,30.5011749267578,-88.8374938964844,1.93489074707031,-2.585205078125
220.219039916992,29.3530120849609,-89.2938537597656,1.95755004882813,-2.94453430175781
235.193923950195,30.6884460449219,-88.0209197998047,1.93276977539063,-3.09490966796875
251.187103271484,28.8813171386719,-88.7439422607422,1.94813537597656,-3.31784057617188
268.267822265625,28.4199676513672,-88.5918121337891,1.95065307617188,-3.56700134277344
286.510009765625,27.4068603515625,-88.8313598632813,1.95768737792969,-3.77682495117188
305.99267578125,27.7590026855469,-87.980712890625,1.93939208984375,-4.03648376464844
326.800170898438,26.5543823242188,-88.4344482421875,1.94853210449219,-4.34597778320313
349.022583007813,25.9557189941406,-88.2132568359375,1.94773864746094,-4.54005432128906
372.756103515625,25.7748107910156,-88.0069427490234,1.96284484863281,-5.06986999511719
398.103515625,25,-88.0751342773438,1.96244812011719,-5.41694641113281
425.174530029297,24.6725006103516,-87.4281768798828,1.94589233398438,-5.51924133300781
454.086395263672,23.6660308837891,-87.9562225341797,1.93806457519531,-6.08139038085938
484.964263916016,23.3961791992188,-87.4342956542969,1.94694519042969,-6.46519470214844
517.941772460938,22.7417144775391,-87.4176788330078,1.95013427734375,-6.92417907714844
553.161804199219,22.1934204101563,-87.2305908203125,1.96855163574219,-7.38754272460938
590.776794433594,21.6912384033203,-87.0487365722656,1.96656799316406,-7.93220520019531
630.949584960938,21.1649322509766,-86.6273498535156,1.94046020507813,-8.36671447753906
673.854125976563,20.5536804199219,-86.6325988769531,1.98233032226563,-8.95159912109375
719.676208496094,20.0267181396484,-86.2942504882813,1.98445129394531,-9.47441101074219
768.614135742188,19.5477294921875,-86.2942504882813,1.99240112304688,-10.4649505615234
820.8798828125,19.0299224853516,-85.7565765380859,1.99598693847656,-10.9204406738281
876.69970703125,18.3803558349609,-85.6988830566406,1.99214172363281,-11.6329650878906
936.315246582031,17.8957977294922,-85.6123199462891,2.00419616699219,-12.6488647460938
999.984619140625,17.4495544433594,-85.1341094970703,2.03852844238281,-13.418212890625
1067.98352050781,16.8934326171875,-85.0256958007813,2.05615234375,-14.3414306640625
1140.60632324219,16.4080810546875,-84.8517150878906,2.05906677246094,-15.4832305908203
1218.16748046875,15.9174346923828,-84.3778686523438,2.04542541503906,-16.4073181152344
1301.00280761719,15.4171142578125,-84.3140411376953,2.07337951660156,-17.6592712402344
1389.47094726563,14.9466094970703,-84.310546875,2.08901977539063,-19.1122894287109
1483.95495605469,14.42626953125,-84.2816925048828,2.10227966308594,-20.5111236572266
1584.86389160156,13.9931488037109,-84.3140411376953,2.12493896484375,-22.2036895751953
1692.63452148438,13.5271453857422,-84.3096771240234,2.15264892578125,-23.846435546875
1807.73364257813,13.1162872314453,-84.4958953857422,2.16020202636719,-25.8546142578125
1930.65942382813,12.6958923339844,-84.4827728271484,2.18113708496094,-27.7036895751953
2061.94409179688,12.2859497070313,-85.0545501708984,2.20379638671875,-30.1044158935547
2202.15625,11.8557434082031,-85.4357299804688,2.17715454101563,-32.5173950195313
2351.90283203125,11.4860992431641,-86.0564575195313,2.20062255859375,-35.1865234375
2511.83203125,11.0863647460938,-86.7357482910156,2.19479370117188,-38.0025177001953
2682.63647460938,10.7135467529297,-87.8355865478516,2.17384338378906,-41.2434234619141
2865.0556640625,10.3004302978516,-88.9563903808594,2.10214233398438,-44.6040954589844
3059.87939453125,9.91593933105469,-90.0894317626953,2.03269958496094,-48.0591888427734
3267.951171875,9.53701782226563,-91.9070281982422,1.96524047851563,-52.1481170654297
3490.17163085938,9.12907409667969,-93.5567626953125,1.81851196289063,-56.2492828369141
3727.50317382813,8.6956787109375,-95.6663665771484,1.66583251953125,-60.7255249023438
3980.97314453125,8.23724365234375,-97.8424072265625,1.44264221191406,-65.3206481933594
4251.67919921875,7.72962951660156,-100.256256103516,1.1563720703125,-70.1544647216797
4540.79296875,7.20770263671875,-102.651733398438,0.816818237304688,-74.9996337890625
4849.56689453125,6.62016296386719,-105.170486450195,0.41363525390625,-79.9820709228516
5179.33740234375,6.02243041992188,-107.66389465332,-0.02996826171875,-84.9347686767578
5531.5322265625,5.4029541015625,-110.216735839844,-0.51080322265625,-89.929443359375
5907.67626953125,4.77951049804688,-112.773971557617,-1.02133178710938,-94.9433441162109
6309.39794921875,4.11152648925781,-115.405502319336,-1.59494018554688,-100.012329101563
6738.4365234375,3.44685363769531,-117.947860717773,-2.18406677246094,-104.972030639648
7196.64990234375,2.72175598144531,-120.806701660156,-2.75729370117188,-110.040145874023
7686.02197265625,2.0792236328125,-122.927673339844,-3.45919799804688,-114.774276733398
8208.6708984375,1.38261413574219,-125.303039550781,-4.13883972167969,-119.504043579102
8766.8603515625,0.687591552734375,-127.868133544922,-4.83267211914063,-124.434906005859
9363.0068359375,0.0018463134765625,-130.312576293945,-5.53709411621094,-129.215377807617
9999.6904296875,-0.69091796875,-132.967712402344,-6.2698974609375,-134.187316894531
10679.6689453125,-1.36566162109375,-135.589630126953,-7.00294494628906,-139.099807739258
11405.8857421875,-2.04716491699219,-138.331329345703,-7.7601318359375,-144.10758972168
12181.4853515625,-2.72163391113281,-141.206787109375,-8.53427124023438,-149.224655151367
13009.826171875,-3.3931884765625,-144.367248535156,-9.320068359375,-154.588272094727
13894.494140625,-4.01969909667969,-147.685958862305,-10.0844116210938,-160.069030761719
14839.3193359375,-4.6529541015625,-151.323776245117,-10.8761749267578,-165.836547851563
15848.392578125,-5.28634643554688,-155.105834960938,-11.6890258789063,-171.691497802734
16926.08203125,-5.96519470214844,-158.929000854492,-12.5860290527344,-177.587539672852
18077.0546875,-6.62322998046875,-163.42707824707,-13.4656677246094,175.873962402344
19306.29296875,-7.281005859375,-167.994232177734,-14.3540649414063,169.574890136719
20619.119140625,-7.89558410644531,-172.988906860352,-15.2358245849609,162.774871826172
22021.21875,-8.49755859375,-178.299194335938,-16.1269989013672,155.757141113281
23518.66015625,-9.10603332519531,176.134490966797,-17.0464019775391,148.591674804688
25117.927734375,-9.78289794921875,170.006774902344,-18.0555267333984,140.986450195313
26825.9453125,-10.533447265625,163.490020751953,-19.1600799560547,133.097091674805
28650.109375,-11.2900848388672,156.474044799805,-20.2906188964844,124.865020751953
30598.31640625,-11.9831237792969,149.048919677734,-21.3783416748047,116.385528564453
32679,-12.6358642578125,141.142944335938,-22.4445953369141,107.580825805664
34901.16796875,-13.2728271484375,132.534072875977,-23.5140228271484,98.2559204101563
37274.4453125,-13.9630737304688,123.482818603516,-24.6521148681641,88.7019653320313
39809.10546875,-14.6660461425781,113.766235351563,-25.8209533691406,78.6837615966797
42516.12109375,-15.3616027832031,103.463912963867,-26.9982604980469,68.334228515625
45407.21484375,-16.1169281005859,92.5050048828125,-28.2466278076172,57.5641632080078
48494.90234375,-16.9143981933594,80.9175109863281,-29.5485229492188,46.4487762451172
51792.5546875,-17.7627563476563,68.0527191162109,-30.9160308837891,34.4049072265625
55314.4453125,-18.6009063720703,54.8801727294922,-32.2743988037109,22.3348236083984
59075.82421875,-19.5375518798828,39.9232635498047,-33.7358703613281,8.87464904785156
63092.9765625,-20.5592651367188,24.6210174560547,-35.2834930419922,-4.47186279296875
67383.296875,-21.8146514892578,7.05268859863281,-37.0539093017578,-19.6158752441406
